Filière,Produit,Production_Tonnes,year
maraîchage,Choux Pomme,36162.0,2016
maraîchage,Concombre,42383.0,2016
maraîchage,Courge Courgette,189256.0,2016
maraîchage,Fraisier,136856.0,2016
maraîchage,Framboise,18246.1340492705,2016
maraîchage,Fève Verte,116875.0,2016
maraîchage,Haricot Vert,141629.0,2016
maraîchage,Menthe,98453.0,2016
maraîchage,Myrtille,12169.9547511312,2016
maraîchage,Navet,116644.5,2016
maraîchage,Niora,23534.0,2016
maraîchage,Oignon Vert,58109.0,2016
maraîchage,Patate Douce,16061.0,2016
maraîchage,Petit Pois Vert,76131.5,2016
maraîchage,Piment Poivron,173642.5,2016
oléagineuses,Arachide,36412.0,2016
oléagineuses,Sésame,942.77,2016
oléagineuses,Tournesol,30156.68,2016
palmiers-dattiers,Palmier Dattier,125328.954668569,2016
rosacées,Abricotier,71155.6,2016
rosacées,Autres Plantations Fruitières,39895.0,2016
rosacées,Avocatier,42256.0,2016
rosacées,Caroubier,59025.0,2016
rosacées,Cerisier,8093.0,2016
rosacées,Cognassier,32087.2,2016
rosacées,Figuier,59881.15,2016
rosacées,Grenadier,86503.74,2016
rosacées,Noyer,10005.5,2016
rosacées,Néflier,5570.0,2016
rosacées,Pacanier,287.2,2016
rosacées,Pistachier,114.0,2016
rosacées,Poirier,27754.1,2016
rosacées,Prunier,123576.937733967,2016
rosacées,Pêcher Nectarine,95084.5,2016
vignes,Raisin De Cuve,76084.7,2016
agrumes,Autres Agrumes,6175.0,2017
agrumes,Citron,40114.2991403072,2017
agrumes,Orange Autres,24565.5666813301,2017
agrumes,Orange Navel Lane Late,23230.0,2017
agrumes,Orange Navel Late,9841.99999999999,2017
agrumes,Orange Navelina,385.408450704225,2017
agrumes,Orange Salustiana,23487.6510791366,2017
agrumes,Orange Washignton Sanguine,78561.2127495996,2017
agrumes,Pamplemousse,646.35,2017
agrumes,Petit Fruit Autres,83886.5217926263,2017
agrumes,Petit Fruit Fortune,1620.0,2017
agrumes,Petit Fruit Nador Cott,184219.0,2017
agrumes,Petit Fruit Nour,152803.26,2017
agrumes,Petit Fruit Nova,21370.583072,2017
agrumes,Petit Fruit Nules,166852.461870425,2017
agrumes,Petit Fruit Ortanique,20446.5193344102,2017
amandiers,Amandier,116923.464,2017
céréales,Autres Céréales,1748.0,2017
céréales,Avoine,34906.0,2017
céréales,Mais,122398.733,2017
céréales,Riz,57697.5,2017
céréales,Sorgho,3641.5,2017
fourragères,Autres Cultures Fourragères,62050.0,2017
fourragères,Lupin,30120.0,2017
fourragères,Mélange Fourrager,114385.0,2017
fourragères,Pois Fourrager,12400.0,2017
fourragères,Sorgho Fourrager,14250.0,2017
fourragères,Triticale,15950.2,2017
fourragères,Vesce Avoine,95720.0,2017
industrielles,Autres Cultures Industrielles,124.53,2017
industrielles,Cannabis,0.0,2017
industrielles,Coriandre Récoltée,11515.0,2017
industrielles,Câprier,34040.0,2017
industrielles,Henné,5100.0,2017
industrielles,Piment De Cayenne,26.0,2017
industrielles,Rosier,601.1,2017
industrielles,Safran,4.2,2017
industrielles,Sorgho A Balais,0.0,2017
industrielles,Tabac,580.0,2017
légumineuses,Autres Légumineuses,31636.38,2017
légumineuses,Fève,93399.71,2017
légumineuses,Féverole,47021.0,2017
légumineuses,Lentille,28162.57,2017
légumineuses,Orobe,887.0,2017
légumineuses,Petit Pois,25363.54,2017
légumineuses,Pois Chiche,43506.6,2017
maraîchage,Ail,13660.0,2017
maraîchage,Artichaut,45457.0,2017
maraîchage,Asperge,286.0,2017
maraîchage,Aubergine,52966.0,2017
maraîchage,Betterave Potager,17313.0,2017
maraîchage,Choux Fleur,52265.0,2017
maraîchage,Choux Pomme,51145.0,2017
maraîchage,Concombre,48735.0,2017
maraîchage,Courge Courgette,179518.5,2017
maraîchage,Fraisier,161793.4,2017
