date,Produit,Production_tonnes
1978-01-01,Figues,65000.0
1979-01-01,Figues,65000.0
1980-01-01,Figues,65000.0
1981-01-01,Figues,66000.0
1982-01-01,Figues,67000.0
1983-01-01,Figues,67000.0
1984-01-01,Figues,70000.0
1985-01-01,Figues,72000.0
1986-01-01,Figues,66000.0
1987-01-01,Figues,54300.0
1988-01-01,Figues,55500.0
1989-01-01,Figues,56900.0
1990-01-01,Figues,58200.0
1991-01-01,Figues,60000.0
1992-01-01,Figues,45000.0
1993-01-01,Figues,50000.0
1994-01-01,Figues,65000.0
1995-01-01,Figues,67000.0
1996-01-01,Figues,40400.0
1997-01-01,Figues,51200.0
1998-01-01,Figues,55700.0
1999-01-01,Figues,82000.0
2000-01-01,Figues,68400.0
2001-01-01,Figues,75600.0
2002-01-01,Figues,97500.0
2003-01-01,Figues,67000.0
2004-01-01,Figues,60000.0
2005-01-01,Figues,82600.0
2006-01-01,Figues,77000.0
2007-01-01,Figues,61606.0
2008-01-01,Figues,69723.0
2009-01-01,Figues,109200.0
2010-01-01,Figues,109735.0
2011-01-01,Figues,114770.0
2012-01-01,Figues,102694.0
2013-01-01,Figues,112537.36
2014-01-01,Figues,126553.56
2015-01-01,Figues,150110.82
2016-01-01,Figues,59881.15
2017-01-01,Figues,137933.82
2018-01-01,Figues,128380.05
2019-01-01,Figues,153471.57
2020-01-01,Figues,144246.05
2021-01-01,Figues,144153.0
2022-01-01,Figues,109619.8
2023-01-01,Figues,119166.59
1961-01-01,Fraises,0.0
1962-01-01,Fraises,0.0
1963-01-01,Fraises,0.0
1964-01-01,Fraises,0.0
1965-01-01,Fraises,0.0
1966-01-01,Fraises,0.0
1967-01-01,Fraises,0.0
1968-01-01,Fraises,0.0
1969-01-01,Fraises,50.0
1970-01-01,Fraises,50.0
1971-01-01,Fraises,60.0
1972-01-01,Fraises,140.0
1973-01-01,Fraises,350.0
1974-01-01,Fraises,500.0
1975-01-01,Fraises,250.0
1976-01-01,Fraises,150.0
